,name,type,ingredients,difficulty,time,cost
38,chocolate cake with ice cream,dessert,"{'chocolate': 1, 'flour': 1, 'ice cream': 1}",9,504,13500
39,pancakes,dessert,"{'cheese': 1, 'egg': 1, 'flour': 1}",9,504,13500
40,cr?me brulee,dessert,"{'cream': 1, 'egg': 1, 'sugar': 1}",9,504,13500
41,cheese board,dessert,{'cheese': 3},9,504,13500
42,banana split,dessert,"{'banana': 1, 'cream': 1, 'ice cream': 1}",9,504,13500
43,sundae,dessert,"{'chocolate': 1, 'cream': 1, 'ice cream': 1}",9,504,13500
44,mango pudding,dessert,"{'lime': 1, 'mango': 1, 'milk': 1}",9,504,13500
45,kiwi sorbet,dessert,"{'kiwi': 1, 'lemon': 1, 'sugar': 1}",9,504,13500
46,exotic fruit skewers,dessert,"{'dragonfruit': 1, 'kiwi': 1, 'mango': 1}",9,504,13500
47,pomegranate parfait,dessert,"{'cream': 1, 'egg': 1, 'pomegranate': 1}",9,504,13500
48,tiramisu,dessert,"{'coffee beans': 1, 'cream': 1, 'egg': 1}",9,504,13500
49,glass of water,drink,"{'ice': 1, 'lime': 1, 'water': 1}",9,504,13500
50,espresso,drink,"{'coffee beans': 2, 'water': 1}",9,504,13500
51,coffee,drink,"{'coffee beans': 1, 'milk': 1, 'sugar': 1}",9,504,13500
52,tea,drink,"{'sugar': 1, 'tea leaves': 1, 'water': 1}",9,504,13500
53,chocolate milkshake,drink,"{'chocolate': 1, 'ice cream': 1, 'milk': 1}",9,504,13500
54,lemonade,drink,"{'ice': 1, 'lemon': 1, 'water': 1}",9,504,13500
55,carbonated tea,drink,"{'milk': 1, 'sugar': 1, 'tea leaves': 1}",9,504,13500
56,ginger-beer,drink,"{'ginger': 1, 'ice cream': 1, 'sugar': 1}",9,504,13500
57,hot chocolate with vanilla,drink,"{'chocolate': 1, 'cream': 1, 'vanilla': 1}",9,504,13500
58,saffron tea,drink,"{'salfron': 1, 'tea leaves': 1, 'water': 1}",9,504,13500
59,gods nectar,drink,"{'cherry': 1, 'dragonfruit': 1, 'honey': 1}",9,504,13500
60,coconut cocktail,drink,"{'coconut': 2, 'ice cream': 1}",9,504,13500
61,green tea,drink,"{'tea leaves': 2, 'water': 1}",9,504,13500
62,milk green tea,drink,"{'milk': 1, 'tea leaves': 1, 'water': 1}",9,504,13500
